,Unnamed: 0,url,indexed,published,search_indexed,title_snippet,content_snippet,title,content,root_url,domain_url,host_url,parent_url,lang,porn_level,fluency_level,spam_level,sentiment,source_type,post_type,cluster_id,meta_cluster_id,tags_internal,tags_marking,tags_customer,entity_urls,images.url,images.width,images.height,images.legend,videos.url,videos.width,videos.height,videos.legend,pagemonitoring_sitemon_siteid,matched_profile,article_extended_attributes.facebook_shares,article_extended_attributes.facebook_likes,article_extended_attributes.twitter_retweets,article_extended_attributes.url_views,article_extended_attributes.pinterest_likes,article_extended_attributes.pinterest_pins,article_extended_attributes.pinterest_repins,article_extended_attributes.youtube_views,article_extended_attributes.youtube_likes,article_extended_attributes.youtube_dislikes,article_extended_attributes.instagram_likes,article_extended_attributes.twitter_shares,article_extended_attributes.num_comments,source_extended_attributes.alexa_pageviews,source_extended_attributes.facebook_followers,source_extended_attributes.twitter_followers,source_extended_attributes.instagram_followers,source_extended_attributes.pinterest_followers,extra_article_attributes.world_data.continent,extra_article_attributes.world_data.country,extra_article_attributes.world_data.country_code,extra_article_attributes.world_data.region,extra_article_attributes.world_data.city,extra_article_attributes.world_data.longitude,extra_article_attributes.world_data.latitude,extra_author_attributes.id,extra_author_attributes.type,extra_author_attributes.name,extra_author_attributes.birthdate.date,extra_author_attributes.birthdate.resolution,extra_author_attributes.gender,extra_author_attributes.image_url,extra_author_attributes.short_name,extra_author_attributes.url,extra_author_attributes.world_data.continent,extra_author_attributes.world_data.country,extra_author_attributes.world_data.country_code,extra_author_attributes.world_data.region,extra_author_attributes.world_data.city,extra_author_attributes.world_data.longitude,extra_author_attributes.world_data.latitude,extra_source_attributes.world_data.continent,extra_source_attributes.world_data.country,extra_source_attributes.world_data.country_code,extra_source_attributes.world_data.region,extra_source_attributes.world_data.city,extra_source_attributes.world_data.longitude,extra_source_attributes.world_data.latitude,engagement,reach,retweets,translated_tweets,stopped_tweets,normalised_tweets
0,0,http://twitter.com/canalN_/status/555031363758608386,13/01/2015 16:59,13/01/2015 16:59,13/01/2015 17:01,,AP pide que se excluya a su fotógrafo de juicio contra Greenpeace por daños a Líneas de Nasca ►ow.ly/HfBwR pic.twitter.com/MSTjCQdBjn,,AP pide que se excluya a su fotógrafo de juicio contra Greenpeace por daños a Líneas de Nasca ►http://t.co/jX4b5uwaNG http://t.co/MSTjCQdBjn,http://twitter.com/canalN_/,http://twitter.com/,http://twitter.com/,http://twitter.com/canalN_/status/555031363758608386,es,0,69,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,,,"[{""expended_url"":""http://twitter.com/canalN_/status/555031363758608386/photo/1"",""display_url"":""pic.twitter.com/MSTjCQdBjn"",""url"":""http://t.co/MSTjCQdBjn""},{""expended_url"":""http://ow.ly/HfBwR"",""display_url"":""ow.ly/HfBwR"",""url"":""http://t.co/jX4b5uwaNG""}]",http://pbs.twimg.com/media/B7PeFYrCEAIiktE.jpg,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,2,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,822997,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:248692867,,Canal N,0,DAY,MALE,http://pbs.twimg.com/profile_images/525400754526228480/CqIYAD2q_normal.png,canalN_,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,2,822997,2,AP asks his trial Greenpeace photographer exclude damage to Nasca Lines ►http: //t.co/jX4b5uwaNG http://t.co/MSTjCQdBjn,AP asks trial Greenpeace photographer exclude damage Nasca Lines ►http: //t.co/jX4b5uwaNG http://t.co/MSTjCQdBjn,"[u'ap', u'ask', u'trial', u'greenpeac', u'photograph', u'exclud', u'damag', u'nasca', u'line', u'\u25bahttp', u'tcojx4b5uwang', u'httptcomstjcqdbjn']"
1,1,http://twitter.com/javi270270/status/554850985747939328,13/01/2015 05:02,13/01/2015 05:02,13/01/2015 05:05,,(Si fueran japoneses o de Greenpeace sería titular) Invaden área arqueológica de Líneas de Nasca con palos y esteras lavozdeica.com/index.php/loca…,,(Si fueran japoneses o de Greenpeace sería titular) Invaden área arqueológica de Líneas de Nasca con palos y esteras http://t.co/Lg9PHaUVW6,http://twitter.com/javi270270/,http://twitter.com/,http://twitter.com/,http://twitter.com/javi270270/status/554850985747939328,es,0,100,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",LINK,,,,,,"[{""expended_url"":""http://www.lavozdeica.com/index.php/locales/100-categoria-locales/11195-invaden-area-arqueologica-de-lineas-de-nasca-con-palos-y-esteras"",""display_url"":""lavozdeica.com/index.php/loca…"",""url"":""http://t.co/Lg9PHaUVW6""}]",,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,4,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,3393,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:11438042,,Javi,0,DAY,MALE,http://pbs.twimg.com/profile_images/471483684961259521/qJe7KErP_normal.jpeg,javi270270,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,4,3393,4,(If they were Japanese or Greenpeace would be owner) Invade archaeological area Nasca lines with sticks and mats http://t.co/Lg9PHaUVW6,(If Japanese Greenpeace would owner) Invade archaeological area Nasca lines sticks mats http://t.co/Lg9PHaUVW6,"[u'if', u'japanes', u'greenpeac', u'would', u'owner', u'invad', u'archaeolog', u'area', u'nasca', u'line', u'stick', u'mat', u'httptcolg9phauvw6']"
2,2,http://twitter.com/jelguera/status/554300769940553728,11/01/2015 16:36,11/01/2015 16:36,11/01/2015 16:38,,"Perú iniciará un proceso de extradición contra el activista de Greenpeace que dirigió la ""protesta"" que dañó las Lineas de Nazca.",,"Perú iniciará un proceso de extradición contra el activista de Greenpeace que dirigió la ""protesta"" que dañó las Lineas de Nazca.",http://twitter.com/jelguera/,http://twitter.com/,http://twitter.com/,http://twitter.com/jelguera/status/554300769940553728,es,0,100,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",TEXT,,,,,,[],,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,4,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,4090,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:15868347,,Jorge Elguera,0,DAY,MALE,http://pbs.twimg.com/profile_images/551695890453626880/kuLkHH3W_normal.jpeg,jelguera,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,4,4090,4,"Peru initiate extradition proceedings against Greenpeace activist who led the ""protest"" that damaged the Nazca Lines.","Peru initiate extradition proceedings Greenpeace activist led ""protest"" damaged Nazca Lines.","[u'peru', u'initi', u'extradit', u'proceed', u'greenpeac', u'activist', u'led', u'protest', u'damag', u'nazca', u'line']"
3,3,http://twitter.com/prensafiscalia/status/553973774635520001,10/01/2015 18:56,10/01/2015 18:56,10/01/2015 18:59,,#Nasca: Dictan prisión preventiva para activista de @GreenpeaceGreenpeace a solicitud de la Fiscalía ► bit.ly/1A1eUoD pic.twitter.com/yytoSQ5NNQ,,#Nasca: Dictan prisión preventiva para activista de @Greenpeace a solicitud de la Fiscalía ► http://t.co/3X0WQR8AAz http://t.co/yytoSQ5NNQ,http://twitter.com/prensafiscalia/,http://twitter.com/,http://twitter.com/,http://twitter.com/prensafiscalia/status/553973774635520001,es,0,18,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,,,"[{""expended_url"":""http://twitter.com/prensafiscalia/status/553973774635520001/photo/1"",""display_url"":""pic.twitter.com/yytoSQ5NNQ"",""url"":""http://t.co/yytoSQ5NNQ""},{""expended_url"":""http://bit.ly/1A1eUoD"",""display_url"":""bit.ly/1A1eUoD"",""url"":""http://t.co/3X0WQR8AAz""}]",http://pbs.twimg.com/media/B7AcNhvIUAAlaKe.jpg,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,18,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,86504,0,0,,,,,,0.0,0.0,tw:302151609,,Ministerio Público,0,DAY,UNKNOWN,http://pbs.twimg.com/profile_images/538389320814452736/UwC54X4I_normal.jpeg,prensafiscalia,,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,18,86504,18,#Nasca: Dictan remand forGreenpeace activist at the request of the Attorney ► http://t.co/3X0WQR8AAz http://t.co/yytoSQ5NNQ,#Nasca: Dictan remand forGreenpeace activist request Attorney ► http://t.co/3X0WQR8AAz http://t.co/yytoSQ5NNQ,"[u'nasca', u'dictan', u'remand', u'forgreenpeac', u'activist', u'request', u'attorney', u'\u25ba', u'httptco3x0wqr8aaz', u'httptcoyytosq5nnq']"
4,4,http://twitter.com/PeruNews/status/553960128815562752,10/01/2015 18:03,10/01/2015 18:02,10/01/2015 18:05,,Greenpeace: Dictan 6 meses de prisión para activista que dañó Líneas de Nasca #PeruNews perunews.info /pv dld.bz/d5fJj,,Greenpeace: Dictan 6 meses de prisión para activista que dañó Líneas de Nasca #PeruNews http://t.co/BlPKQ7wEWW /pv http://t.co/UZlwlFXVug,http://twitter.com/PeruNews/,http://twitter.com/,http://twitter.com/,http://twitter.com/PeruNews/status/553960128815562752,es,0,31,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",LINK,,,,,,"[{""expended_url"":""http://perunews.info"",""display_url"":""perunews.info"",""url"":""http://t.co/BlPKQ7wEWW""},{""expended_url"":""http://dld.bz/d5fJj"",""display_url"":""dld.bz/d5fJj"",""url"":""http://t.co/UZlwlFXVug""}]",,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,2,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,133656,0,0,,,,,,0.0,0.0,tw:75684101,,Perú News ,0,DAY,UNKNOWN,http://pbs.twimg.com/profile_images/3729342997/467f36e9fbeef7752ca9391cf573eb46_normal.jpeg,PeruNews,,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,2,133656,2,Greenpeace: Dictan six months in prison for activist damaged Nasca Lines #PeruNews http://t.co/BlPKQ7wEWW / pv http://t.co/UZlwlFXVug,Greenpeace: Dictan six months prison activist damaged Nasca Lines #PeruNews http://t.co/BlPKQ7wEWW / pv http://t.co/UZlwlFXVug,"[u'greenpeac', u'dictan', u'six', u'month', u'prison', u'activist', u'damag', u'nasca', u'line', u'perunew', u'httptcoblpkq7weww', u'pv', u'httptcouzlwlfxvug']"
5,5,http://twitter.com/Capital967/status/553945667941707776,10/01/2015 17:05,10/01/2015 17:05,10/01/2015 17:07,,Líneas de Nasca: Dictan seis meses de prisión para activista de Greenpeace bit.ly/17tLMQa,,Líneas de Nasca: Dictan seis meses de prisión para activista de Greenpeace http://t.co/foUm5KgNeV,http://twitter.com/Capital967/,http://twitter.com/,http://twitter.com/,http://twitter.com/Capital967/status/553945667941707776,es,0,84,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",LINK,,,,,,"[{""expended_url"":""http://bit.ly/17tLMQa"",""display_url"":""bit.ly/17tLMQa"",""url"":""http://t.co/foUm5KgNeV""}]",,0,0,,,0,0,,,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,7,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,697802,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:21889656,,Capital,0,DAY,UNKNOWN,http://pbs.twimg.com/profile_images/552144308904525824/NwJw6s-a_normal.jpeg,Capital967,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,7,697802,7,Nasca Lines: Dictan six months in prison for Greenpeace activist http://t.co/foUm5KgNeV,Nasca Lines: Dictan six months prison Greenpeace activist http://t.co/foUm5KgNeV,"[u'nasca', u'line', u'dictan', u'six', u'month', u'prison', u'greenpeac', u'activist', u'httptcofoum5kgnev']"
6,6,http://twitter.com/elcomercio/status/553911331473346560,10/01/2015 14:48,10/01/2015 14:48,10/01/2015 14:51,,Líneas de Nasca Dictan 6 meses de prisión para activista de #Greenpeace ► ow.ly/H6ej0 pic.twitter.com/XgWSUJOKsW,,Líneas de Nasca Dictan 6 meses de prisión para activista de #Greenpeace ► http://t.co/jlSE9ycjxO http://t.co/XgWSUJOKsW,http://twitter.com/elcomercio/,http://twitter.com/,http://twitter.com/,http://twitter.com/elcomercio/status/553911331473346560,es,0,25,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,read,,"[{""expended_url"":""http://twitter.com/elcomercio/status/553911331473346560/photo/1"",""display_url"":""pic.twitter.com/XgWSUJOKsW"",""url"":""http://t.co/XgWSUJOKsW""},{""expended_url"":""http://ow.ly/H6ej0"",""display_url"":""ow.ly/H6ej0"",""url"":""http://t.co/jlSE9ycjxO""}]",http://pbs.twimg.com/media/B6_ja6FIMAA_ize.jpg,0,0,,,0,0,,,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,52,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,1646345,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:8168562,,El Comercio,0,DAY,MALE,http://pbs.twimg.com/profile_images/552462774425513984/Sq3SZ1HB_normal.jpeg,elcomercio,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,52,1646345,52,Nasca Lines dictate six months in prison for #Greenpeace activist ► http://t.co/jlSE9ycjxO http://t.co/XgWSUJOKsW,Nasca Lines dictate six months prison #Greenpeace activist ► http://t.co/jlSE9ycjxO http://t.co/XgWSUJOKsW,"[u'nasca', u'line', u'dictat', u'six', u'month', u'prison', u'greenpeac', u'activist', u'\u25ba', u'httptcojlse9ycjxo', u'httptcoxgwsujoksw']"
7,7,http://twitter.com/coyotegris/status/553728489984380928,10/01/2015 02:42,10/01/2015 02:42,10/01/2015 02:44,,RT @Peru21pe: @GreenpeaceGreenpeace : Dictan 6 meses de prisión para activista que dañó Líneas de Nasca goo.gl/18eCsQ pic.twitter.com/R6iwt86LUZ,,RT @Peru21pe: @Greenpeace : Dictan 6 meses de prisión para activista que dañó Líneas de Nasca http://t.co/4VfGxJNYyR http://t.co/R6iwt86LUZ,http://twitter.com/coyotegris/,http://twitter.com/,http://twitter.com/,http://twitter.com/coyotegris/status/553728489984380928,es,0,25,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,,,"[{""expended_url"":""http://twitter.com/Peru21pe/status/553728312313667586/photo/1"",""display_url"":""pic.twitter.com/R6iwt86LUZ"",""url"":""http://t.co/R6iwt86LUZ""},{""expended_url"":""http://goo.gl/18eCsQ"",""display_url"":""goo.gl/18eCsQ"",""url"":""http://t.co/4VfGxJNYyR""}]",http://pbs.twimg.com/media/B6889zoIEAIbvoM.jpg,0,0,,,0,0,,,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,6,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,8439,0,0,,,,,,0.0,0.0,tw:46587924,,Erick Iriarte Ahon,0,DAY,MALE,http://pbs.twimg.com/profile_images/259650139/800px-Coyote_portrait_normal.jpg,coyotegris,,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,Europe,Spain,es,Comunidad de Madrid,Madrid,-3.683351686,40.4000262645,6,8439,6,RT @ Peru21pe:Greenpeace: Dictan six months in prison for activist damaged Nasca Lines http://t.co/4VfGxJNYyR http://t.co/R6iwt86LUZ,RT @ Peru21pe:Greenpeace: Dictan six months prison activist damaged Nasca Lines http://t.co/4VfGxJNYyR http://t.co/R6iwt86LUZ,"[u'rt', u'peru21pegreenpeac', u'dictan', u'six', u'month', u'prison', u'activist', u'damag', u'nasca', u'line', u'httptco4vfgxjnyyr', u'httptcor6iwt86luz']"
8,8,http://twitter.com/Peru21pe/status/553728312313667586,10/01/2015 02:41,10/01/2015 02:41,10/01/2015 02:43,,[AMPLIACIÓN] #Greenpeace: Dictan 6 meses de prisión para activista que dañó Líneas de Nasca goo.gl/18eCsQ pic.twitter.com/XjKI9rvViu,,[AMPLIACIÓN] #Greenpeace: Dictan 6 meses de prisión para activista que dañó Líneas de Nasca http://t.co/eNTTYcoVVX http://t.co/XjKI9rvViu,http://twitter.com/Peru21pe/,http://twitter.com/,http://twitter.com/,http://twitter.com/Peru21pe/status/553728312313667586,es,0,22,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,,,"[{""expended_url"":""http://twitter.com/Peru21pe/status/553728312313667586/photo/1"",""display_url"":""pic.twitter.com/XjKI9rvViu"",""url"":""http://t.co/XjKI9rvViu""},{""expended_url"":""http://goo.gl/18eCsQ"",""display_url"":""goo.gl/18eCsQ"",""url"":""http://t.co/eNTTYcoVVX""}]",http://pbs.twimg.com/media/B6889zoIEAIbvoM.jpg,0,0,,,0,0,,,"FILTER / Cop20 / Nazca,SEARCH / Greenpeace / Greenpeace",0,0,48,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,849975,0,0,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,tw:19602540,,Redacción Perú21,0,DAY,UNKNOWN,http://pbs.twimg.com/profile_images/548934979883778048/WjyqZaFG_normal.jpeg,Peru21pe,,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,South America,Peru,pe,Lima,Lima,-77.0500620948,-12.048012676099999,48,849975,48,[EXTENSION] #Greenpeace: Dictan six months in prison for activist damaged Nasca Lines http://t.co/eNTTYcoVVX http://t.co/XjKI9rvViu,[EXTENSION] #Greenpeace: Dictan six months prison activist damaged Nasca Lines http://t.co/eNTTYcoVVX http://t.co/XjKI9rvViu,"[u'extens', u'greenpeac', u'dictan', u'six', u'month', u'prison', u'activist', u'damag', u'nasca', u'line', u'httptcoenttycovvx', u'httptcoxjki9rvviu']"
9,9,http://twitter.com/olikvalera/status/553704058679476224,10/01/2015 01:05,10/01/2015 01:05,10/01/2015 01:07,,#PERU: Dictan 6 meses de cárcel para activista de @GreenpeaceGreenpeace que daño las líneas de Nazca. pic.twitter.com/6TAqqSvacO,,#PERU: Dictan 6 meses de cárcel para activista de @Greenpeace que daño las líneas de Nazca. http://t.co/6TAqqSvacO,http://twitter.com/olikvalera/,http://twitter.com/,http://twitter.com/,http://twitter.com/olikvalera/status/553704058679476224,es,0,45,0,-5,"SOCIALMEDIA,SOCIALMEDIA_TWITTER",IMAGE,,,hasImage,,,"[{""expended_url"":""http://twitter.com/elcomercio/status/553703680135159808/photo/1"",""display_url"":""pic.twitter.com/6TAqqSvacO"",""url"":""http://t.co/6TAqqSvacO""}]",http://pbs.twimg.com/media/B68mkBmIYAAbRq_.jpg,0,0,,,0,0,,,"SEARCH / Greenpeace / Greenpeace,FILTER / Cop20 / Nazca",0,0,3,0,0,0,0,0,0,0,0,0,0,4324000000.0,0,5444,0,0,South America,Paraguay,py,Asunción,Asuncion,-57.641505169300004,-25.2964029757,tw:102075100,,Olik Valera,0,DAY,UNKNOWN,http://pbs.twimg.com/profile_images/509916162906288128/qef2WOKf_normal.jpeg,olikvalera,,South America,Paraguay,py,Asunción,Asuncion,-57.641505169300004,-25.2964029757,South America,Paraguay,py,Asunción,Asuncion,-57.641505169300004,-25.2964029757,3,5444,3,#PERU: Dictan six months in prison for activistGreenpeace that damage the Nazca lines. http://t.co/6TAqqSvacO,#PERU: Dictan six months prison activistGreenpeace damage Nazca lines. http://t.co/6TAqqSvacO,"[u'peru', u'dictan', u'six', u'month', u'prison', u'activistgreenpeac', u'damag', u'nazca', u'line', u'httptco6taqqsvaco']"
